id_conta_pagar,id_fornecedor,data_emissao,data_vencimento,data_pagamento,id_centro_custo,id_plano_contas,valor_original,valor_pago,juros_multa,desconto,status
1,28,2024-07-11,2024-08-06,2024-08-17,4,12,7965.22,8192.14,226.92,0.0,PAGA
2,28,2024-07-02,2024-07-14,2024-08-07,7,14,2504.14,2589.49,85.35,0.0,PAGA
3,6,2025-05-21,2025-06-20,2025-07-15,1,10,2513.83,2539.83,26.0,0.0,PAGA
4,12,2025-12-21,2026-01-14,2025-12-31,1,15,11296.64,11296.64,0.0,0.0,PAGA
5,24,2025-07-05,2025-07-31,2025-08-09,8,11,9049.28,9498.57,449.29,0.0,PAGA
6,16,2024-03-31,2024-04-09,2024-04-13,7,13,9067.74,9431.56,363.82,0.0,PAGA
7,36,2025-08-11,2025-08-21,2025-08-26,5,16,4671.96,4780.31,108.35,0.0,PAGA
8,22,2025-12-12,2026-01-03,2025-12-31,4,12,8200.33,8317.52,117.19,0.0,PAGA
9,10,2025-01-20,2025-01-28,,1,10,2120.5,0.0,0.0,0.0,CANCELADA
10,8,2025-07-12,2025-08-07,,1,10,10967.8,0.0,0.0,0.0,CANCELADA
11,3,2025-05-20,2025-06-15,,6,16,12474.51,0.0,0.0,0.0,ATRASADA
12,29,2025-03-03,2025-03-20,2025-03-27,2,14,14367.48,14848.8,481.32,0.0,PAGA
13,17,2025-07-05,2025-07-21,,1,11,2657.72,0.0,0.0,0.0,CANCELADA
14,28,2024-12-17,2025-01-05,2025-01-18,4,15,1021.39,1055.42,34.03,0.0,PAGA
15,24,2025-04-24,2025-05-15,2025-06-05,8,13,11916.57,12333.54,416.97,0.0,PAGA
16,2,2024-03-14,2024-04-03,2024-05-03,7,12,8052.78,8352.04,299.26,0.0,PAGA
17,4,2025-03-08,2025-03-17,,2,12,12463.38,0.0,0.0,0.0,ATRASADA
18,24,2025-03-07,2025-03-19,2025-03-27,3,13,13002.39,13508.61,506.22,0.0,PAGA
19,11,2024-02-06,2024-02-20,2024-02-22,3,12,3137.47,3287.33,149.86,0.0,PAGA
20,21,2024-06-20,2024-07-19,2024-07-19,7,12,12291.24,12291.24,0.0,0.0,PAGA
21,34,2025-08-08,2025-09-02,2025-09-29,8,11,9247.3,9488.52,241.22,0.0,PAGA
22,3,2025-11-05,2025-12-04,2025-12-31,6,15,8418.12,8573.6,155.48,0.0,PAGA
23,28,2024-01-25,2024-02-11,2024-02-24,7,15,14272.3,14573.27,300.97,0.0,PAGA
24,3,2025-11-17,2025-12-09,2025-12-31,6,12,9742.07,10019.76,277.69,0.0,PAGA
25,35,2024-03-11,2024-03-19,2024-03-28,2,16,12598.62,12838.85,240.23,0.0,PAGA
26,22,2024-06-06,2024-06-20,2024-06-22,3,16,5710.97,5911.12,200.15,0.0,PAGA
27,18,2025-10-28,2025-11-05,,3,14,12487.59,0.0,0.0,0.0,CANCELADA
28,22,2025-04-11,2025-05-02,2025-04-30,8,11,542.29,530.52,0.0,11.77,PAGA
29,32,2024-10-02,2024-10-15,2024-10-12,5,12,7755.69,7610.35,0.0,145.34,PAGA
30,34,2025-01-20,2025-01-31,2025-02-12,2,16,14558.0,14889.73,331.73,0.0,PAGA
31,12,2025-01-31,2025-02-11,2025-02-24,5,14,14265.03,14570.43,305.4,0.0,PAGA
32,40,2024-07-10,2024-07-15,2024-08-08,5,10,755.62,783.68,28.06,0.0,PAGA
33,30,2025-01-12,2025-02-03,2025-02-20,4,14,906.42,919.11,12.69,0.0,PAGA
34,4,2024-01-12,2024-02-11,2024-02-24,7,11,11339.83,11700.53,360.7,0.0,PAGA
35,25,2025-05-23,2025-06-17,2025-07-13,3,15,13914.88,14068.51,153.63,0.0,PAGA
36,15,2024-05-22,2024-05-28,2024-06-23,3,11,6845.27,6959.17,113.9,0.0,PAGA
37,19,2024-10-20,2024-11-16,,7,16,9892.74,0.0,0.0,0.0,ATRASADA
38,5,2024-08-03,2024-08-27,2024-09-24,5,16,6280.78,6580.37,299.59,0.0,PAGA
39,18,2025-05-02,2025-05-17,2025-05-30,1,13,11375.87,11555.23,179.36,0.0,PAGA
40,25,2024-06-18,2024-07-13,2024-08-01,5,13,13333.69,13903.98,570.29,0.0,PAGA
41,13,2024-07-16,2024-08-10,2024-08-19,7,16,3202.99,3340.47,137.48,0.0,PAGA
42,37,2025-10-02,2025-10-30,2025-11-28,2,12,13997.82,14457.63,459.81,0.0,PAGA
43,29,2024-09-07,2024-09-26,2024-10-26,1,15,3847.32,3962.21,114.89,0.0,PAGA
44,36,2025-04-05,2025-04-28,2025-05-12,2,15,7126.7,7257.63,130.93,0.0,PAGA
45,16,2025-06-07,2025-06-17,,3,16,8750.57,0.0,0.0,0.0,ATRASADA
46,11,2025-10-05,2025-10-17,,1,14,12041.62,0.0,0.0,0.0,ATRASADA
47,7,2025-12-25,2026-01-21,2025-12-31,6,16,12264.56,12609.38,344.82,0.0,PAGA
48,38,2024-10-14,2024-10-29,2024-11-14,6,12,3618.9,3776.78,157.88,0.0,PAGA
49,37,2024-06-28,2024-07-13,2024-07-23,8,15,12145.51,12301.03,155.52,0.0,PAGA
50,23,2024-12-07,2024-12-19,2025-01-05,3,14,6160.08,6337.95,177.87,0.0,PAGA
51,10,2024-12-10,2024-12-28,,1,12,11261.03,0.0,0.0,0.0,ATRASADA
52,27,2025-09-15,2025-10-10,2025-10-29,3,12,8865.43,9216.21,350.78,0.0,PAGA
53,10,2025-05-05,2025-05-14,2025-05-19,1,16,14245.1,14604.82,359.72,0.0,PAGA
