id_conta_receber,id_cliente,data_emissao,data_vencimento,data_pagamento,id_centro_custo,id_plano_contas,valor_original,valor_pago,juros_multa,desconto,status
1,5,2024-11-16,2024-12-23,,1.0,1,14098.68,0.0,0.0,0.0,CANCELADA
2,27,2025-07-09,2025-08-23,,7.0,2,2998.22,0.0,0.0,0.0,ATRASADA
3,26,2025-11-07,2025-11-30,,4.0,2,16543.85,0.0,0.0,0.0,ATRASADA
4,23,2025-02-08,2025-02-26,2025-02-28,5.0,3,16638.81,17037.35,398.54,0.0,PAGA
5,18,2025-12-09,2026-01-04,,8.0,2,4295.45,0.0,0.0,0.0,ABERTA
6,24,2024-02-01,2024-03-01,,1.0,2,15022.86,0.0,0.0,0.0,ATRASADA
7,49,2024-08-25,2024-10-06,2024-10-10,6.0,2,4194.69,4229.29,34.6,0.0,PAGA
8,17,2025-05-03,2025-05-21,2025-06-01,6.0,3,16737.22,16951.61,214.39,0.0,PAGA
9,42,2025-08-10,2025-09-19,2025-09-24,7.0,1,13808.66,13925.95,117.29,0.0,PAGA
10,41,2025-07-28,2025-08-07,,2.0,3,14250.72,0.0,0.0,0.0,ATRASADA
11,28,2025-02-19,2025-03-17,2025-03-23,6.0,3,2733.34,2779.2,45.86,0.0,PAGA
12,29,2025-07-12,2025-08-11,2025-08-22,5.0,1,11404.54,11548.22,143.68,0.0,PAGA
13,18,2024-06-05,2024-06-30,2024-06-25,2.0,3,17141.36,16929.97,0.0,211.39,PAGA
14,15,2024-08-02,2024-08-27,2024-09-08,3.0,2,15786.02,16127.12,341.1,0.0,PAGA
15,21,2024-05-01,2024-06-09,2024-06-24,6.0,3,2255.93,2293.26,37.33,0.0,PAGA
16,9,2024-12-31,2025-02-12,,1.0,1,9200.05,0.0,0.0,0.0,ATRASADA
17,20,2024-08-08,2024-09-11,2024-09-22,3.0,3,2209.17,2226.73,17.56,0.0,PAGA
18,19,2025-05-25,2025-07-06,2025-07-07,7.0,3,19398.94,19843.61,444.67,0.0,PAGA
19,23,2024-07-17,2024-07-29,,,3,9387.64,0.0,0.0,0.0,CANCELADA
20,11,2024-08-11,2024-09-19,2024-09-29,4.0,3,17203.98,17616.24,412.26,0.0,PAGA
21,34,2025-04-02,2025-04-27,2025-05-08,,3,13172.01,13374.8,202.79,0.0,PAGA
22,3,2024-12-26,2025-01-11,2025-01-14,7.0,1,2516.36,2565.91,49.55,0.0,PAGA
23,15,2025-02-28,2025-04-12,2025-04-14,,2,12022.85,12371.08,348.23,0.0,PAGA
